#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, smutil, smocc, intutil, mmaact, dram
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, GPM:%, GPM:%, GPM:%, GPM:%, GPM:%
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 54, 39, -, 54, 39, 0, 0, 0, 0, 9251, 1980, -, -, -, -, -
#gpu, pwr, gtemp, mtemp, sm, mem, enc, dec, jpg, ofa, mclk, pclk, smutil, smocc, intutil, mmaact, dram
#Idx, W, C, C, %, %, %, %, %, %, MHz, MHz, GPM:%, GPM:%, GPM:%, GPM:%, GPM:%
 0, 94, 39, -, 0, 0, 0, 0, 0, 0, 9251, 1980, -, -, -, -, -
 0, 84, 40, -, 0, 0, 0, 0, 0, 0, 9501, 1980, -, -, -, -, -
 0, 84, 38, -, 0, 0, 0, 0, 0, 0, 5001, 375, -, -, -, -, -
 0, 52, 37, -, 0, 0, 0, 0, 0, 0, 5001, 240, -, -, -, -, -
 0, 46, 37, -, 0, 0, 0, 0, 0, 0, 5001, 225, -, -, -, -, -
 0, 42, 36, -, 0, 0, 0, 0, 0, 0, 810, 210, -, -, -, -, -
 0, 30, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 19, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 36, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
 0, 18, 35, -, 0, 0, 0, 0, 0, 0, 405, 210, -, -, -, -, -
